Headline,Label,Fact_Check_Source,Fact_Check_Result,Political_Bias
Green Party condemns former candidate for throwing non-organic pumpkin seeds at Trudeau,1,None,TRUE,biased
"Heading out the door, Obama bans offshore drilling in Atlantic, Arctic Oceans",1,None,TRUE,neutral
Hey Hillary thanks for telling the world America's response time for a nuclear launch,0,Snopes,FALSE,biased
"Hillary Clinton In 2013 ""I Would Like To See People Like Donald Trump Run For Office; They're Honest And Can't Be Bought""",0,Snopes,FALSE,biased
Hillary Clinton Lands in Texas Goes DIRECTLY to Muslim Fund-Raiser Collects $500000,0,Snopes,FALSE,biased
HILLARY’S POPULAR VOTE WIN CAME ENTIRELY FROM CALIFORNIA,0,Politifact,FALSE,biased
How Obama Used The DOJ To Destroy A Reporter’s Life And Blanket Full Immunity Over Clinton,0,Snopes,FALSE,biased
"IN FINAL APPEAL TO VOTERS, CLINTON CHANGES SLOGAN TO “WON’T BLOW UP PLANET”",0,Snopes,FALSE,biased
Intergalactic Law Enforcement Officers Place Energy Shackles On Hillary Clinton,0,Snopes,FALSE,biased
IRELAND IS NOW OFFICIALLY ACCEPTING TRUMP REFUGEES FROM AMERICA,0,Snopes,FALSE,biased
ISIS LEADER CALLS FOR AMERICAN MUSLIM VOTERS TO SUPPORT HILLARY CLINTON,0,Snopes,FALSE,biased
ISIS Leadership Among Top GOP Campaign Contributors,0,Snopes,FALSE,biased
It's Congress all the way,1,None,TRUE,neutral
IT'S OVER Hillary's ISIS Email Just Leaked & It's Worse Than Anyone Could Have Imagined,0,Snopes,FALSE,biased
James Comey Quickly Reopens Clinton Email Investigation For Few More Minutes,0,Snopes,FALSE,biased
JINDAL SAYS HE DIDN’T WANT TO BE IN LAME DEBATE ANYWAY,1,None,TRUE,biased
John Kerry Throws Vine Over Pit Of Quicksand To Save Child Companion,0,Snopes,FALSE,biased
"Just Days Before Leaving Office, Obama Gets News that Could INVALIDATE His Entire Presidency",0,Snopes,FALSE,biased
Karnataka minister who was caught watching obscene pictures claims he was reading TOI online,1,None,TRUE,neutral
Kellie Leitch initiates diplomatic relations with Trump by borrowing dog whistle,1,None,TRUE,biased
Kevin O’Leary asks Putin for same deal Trump got,0,Snopes,FALSE,biased
"KID ROCK Sneaks Into Hillary Clinton Event To Shout""Vote Donald Trump"" During Rally",0,Snopes,FALSE,biased
Liberals unveil new rock-paper-scissors protocols to determine immigrants’ futures,1,None,TRUE,biased
Longtime mistress says Bill Clinton had 2000 sex partners Hillary is a lesbian It was a marriage of convenience,0,Snopes,FALSE,biased
Mamta's a prankster,1,None,TRUE,neutral
Mark Zuckerberg: America Will Elect Its Next President via Facebook,0,Snopes,FALSE,biased
Mexico Says They Will Close Their Border if Trump is Elected,0,Snopes,FALSE,biased
"Mitt Romney Seduces Tea Party Members With Candles, Barry White Songs",0,Snopes,FALSE,biased
Modi doesn't believe in treading the middle path,1,None,TRUE,neutral
Modi gets the better of Patel,1,None,TRUE,neutral
Modi may trim ministry,1,None,TRUE,neutral
Modi's functioning worries some,1,None,TRUE,neutral
"Moments After Being Briefed on Berlin Attack, Obama Hops on Golf Cart…",0,Snopes,FALSE,biased
Monica Lewinsky Says She Is Voting For Hillary Clinton,0,Snopes,FALSE,neutral
Mysterious Manhattan Military Flyover Was Trump Rescue Exercise,0,Snopes,FALSE,unclear
"Nancy Reagan's Last Words ""Do Not Vote For Donald Trump""",0,Snopes,FALSE,neutral
NATION UNSURE IT CAN TOLERATE THIRTEEN MORE DAYS OF RUDY GIULIANI,0,Snopes,FALSE,biased
New Study Shows Illegal Immigrants to Outnumber Americans 2 to 1 by 2025,0,Snopes,FALSE,biased
"Obama Could Seek Advice From Kerry, Gore About How to Lose to Unqualified Texan",0,Snopes,FALSE,biased
Obama Finally Fulfills Campaign Promise To Spend One Night In Abandoned Amusement Park,0,Snopes,FALSE,biased
OBAMA HITS RECORD-HIGH APPROVAL RATING DESPITE TURNING COUNTRY INTO JOBLESS CRIME-RIDDEN HELLHOLE,0,Snopes,FALSE,biased
OBAMA POLITELY ASKS TRUMP TO WAIT UNTIL INAUGURATION BEFORE DESTROYING WORLD,0,Snopes,FALSE,biased
Obama Says “F U America! I Am Not Leaving Office!” Whips Us the Bird. Dreams of Obama Being the Antichrist,0,Snopes,FALSE,biased
Obama Signs Executive Order Banning The National Anthem At All Sporting Events Nationwide,0,Snopes,FALSE,biased
Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide,0,Snopes,FALSE,biased
Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th,0,Snopes,FALSE,biased
OBAMA SIGNS EXECUTIVE ORDER REQUIRING PRESIDENT OF UNITED STATES TO BE TAXPAYER,0,Snopes,FALSE,biased
OBAMA SQUANDERING AMERICA’S PRECIOUS SUPPLY OF ENEMIES,0,Snopes,FALSE,biased
Obama To Issue Executive Order Extending Presidential Term Limits,0,Snopes,FALSE,biased
Obama: Romney Put Profits Ahead of Losses,1,None,TRUE,biased
Obama’s Racist Attacks Against White Working Class Caused Historic Democrat Party Collapse,0,Snopes,FALSE,biased
Ontario government successfully prepares generation of children who don’t know if $300 billion debt big or small,1,None,TRUE,biased
"Ontario Liberals give up, let each school choose their own sex-ed curriculum",1,None,TRUE,biased
Panchmahal girl was not raped: Amit Shah,1,None,TRUE,neutral
PENCE OPENS V.P. DEBATE BY BEGGING PRIVATE SECTOR TO HIRE HIM,0,Snopes,FALSE,biased
PENTAGON OFFICIALS FURIOUS AFTER CLINTON ANNOUNCES US RESPONSE TIME FOR NUCLEAR LAUNCH DURING DEBATE,0,Snopes,FALSE,biased
Police Just Raided Democrat HQ! What They Found Was Nasty…,0,Snopes,FALSE,biased
Policeman slams Amit Shah; is promptly shifted,1,None,TRUE,unclear
Pope Francis Endorses Bernie Sanders for President!!,0,Snopes,FALSE,biased
President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected,0,Snopes,FALSE,biased
"President Obama, Jon Stewart to Moderate Fifth GOP Debate",0,Snopes,FALSE,biased
Pro-Cruz Robocall Warns Nevada Voters of Impending Missile Strike,0,Snopes,FALSE,biased
PSYCHOLOGISTS URGE PEOPLE WITH LOW SELF-ESTEEM TO WATCH G.O.P. DEBATE,0,Snopes,FALSE,biased
PUTIN APPEARS WITH TRUMP IN FLURRY OF SWING-STATE RALLIES,0,Snopes,FALSE,biased
Putin Goes On LIVE TV And CONFIRMS That Obama And Hillary Created ISIS,0,Snopes,FALSE,biased
Putin Hacked Emails Reveal That Clinton Threatened Sanders Wife,0,Snopes,FALSE,biased
RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album,0,Snopes,FALSE,biased
Rahul Gandhi a true mama's boy,1,None,TRUE,biased
Rahul Gandhi as PM?,1,None,TRUE,biased
Rahul Gandhi coming into his own?,1,None,TRUE,biased
Rahul Gandhi has no stature: Mulayam,1,None,TRUE,biased
Rahul Gandhi keeps quota pot hot,1,None,TRUE,biased
Rahul Gandhi rubbishes feel-good factor,1,None,TRUE,biased
Rahul Gandhi tipped to be Union minister,1,None,TRUE,biased
Rahul Gandhi to turn down party job,1,None,TRUE,biased
Rajnath defends honest & dedicated' Amit Shah,1,None,TRUE,unclear
Recent Study Shows Nearly Six in Ten Trump Supporters are Illiterate,0,Snopes,FALSE,biased
REPORT: HILLARY IGNITES SOROS-FUNDED PURPLE REVOLUTION AGAINST TRUMP,0,Snopes,FALSE,biased
REPORT: Nine ISIS Supporters Arrested Near Washington D.C.,0,Snopes,FALSE,unbiased
Republican Debates Cancelled; Candidates to Wrestle Bears Instead,0,Snopes,FALSE,biased
REPUBLICANS RELEASE DEBATE FORMAT,0,Snopes,FALSE,unbiased
"REVEALED – Harry Reid Made a HUGE Mistake Right Before Leaving Congress, It’s DEVASTATING",0,Snopes,FALSE,biased
RICK PERRY: “TIME TO PASS MANTLE TO NEW GENERATION OF BONEHEADS”,0,Snopes,FALSE,biased
Robertson Said He Had Vision of Trump Seated At the Right Hand of the Lord,0,Snopes,FALSE,biased
RUPAUL CLAIMS TRUMP TOUCHED HIM INAPPROPRIATELY IN THE 1990S,0,Snopes,FALSE,biased
Russian President Vladimir Putin Appoints Steven Seagal as Tsar of Crimea,0,Snopes,FALSE,biased
Sanders Campaign Prepares For Independent Run In The General Election,0,Snopes,FALSE,biased
"SARAH PALIN APPOINTED AS SCIENCE AND TECHNOLOGY ADVISER, PROMISES TO GET RID OF CLIMATE CHANGE ‘HYSTERIA’",0,Snopes,FALSE,biased
Sarah Palin Changes Endorsement To Ted Cruz,0,Snopes,FALSE,biased
Sarah Palin To Become The Vice President Running Mate For The 2nd Time,0,Snopes,FALSE,biased
Sauron Endorses Donald Trump for President,0,Snopes,FALSE,biased
Secret Service Shuts Down Biden’s Unofficial White House Tour Operation,0,Snopes,FALSE,biased
Senator tells ethics commissioner she was unaware that she was a Senator for 7 years,1,None,TRUE,unbiased
"Snopes Co-Founder Accused Of Embezzling Company Money, Spending It On Prostitutes",0,Snopes,FALSE,biased
Sohrabuddin fake encounter: CBI takes Amit Shah into custody,1,None,TRUE,unbiased
Sonia rejigs CWC; but no Rahul Gandhi yet,1,None,TRUE,neutral
Special Report: Obama’s Bathroom Breaks Cost Taxpayers $4.1 Billion in 2015,0,Snopes,FALSE,biased
Stanford University Confirms Democratic Election Fraud,0,Snopes,FALSE,biased
Sunny Saves Bo From Mountain Lion During Cross-Country Journey To Reunite With Obamas,0,Snopes,FALSE,neutral
Supremacy Now! Things White People Do Well,0,Snopes,FALSE,biased
SUPREME COURT FREES AMERICANS FROM BURDEN OF VOTING,0,Snopes,FALSE,biased
"Ted Cruz Seen Buying Bleach
",0,Snopes,FALSE,neutral
TED CRUZ WILL SPEAK AT DEMOCRATIC NATIONAL CONVENTION,0,Snopes,FALSE,biased
Ted Cruz: “I Will Endorse Donald Trump For President If He Makes Masturbation Illegal”,0,Snopes,FALSE,biased
Telengana issue may cost Congress dear,1,None,TRUE,neutral
The 8th Amendment Meets the 5th Amendment,0,Snopes,FALSE,neutral
The Donald’s Constitution,0,Snopes,FALSE,biased
The REAL REASON Hillary CANCELLED Her Last Public Event JUST LEAKED … This is TOTALLY HUMILIATING,0,Snopes,FALSE,biased
Thousands turn up in Amit Shah's support,1,None,TRUE,neutral
Top 10 Bad Things Obama Learned in His Intelligence Briefings,0,Snopes,FALSE,biased
Top Black Lives Matter Activist: ‘We Will Incite Riots Everywhere if Trump Wins’,0,Snopes,FALSE,biased
TRAITOR-IN-CHIEF: Here’s The SICK REASON Newt Gingrich Just Betrayed Donald Trump,0,Snopes,FALSE,biased
Trudeau: Only 39.5% of people voted for electoral reform,1,None,TRUE,biased
"Trump Accuser Was Paid $500,000 TO LIE FOR HILLARY",0,Snopes,FALSE,biased
"TRUMP APPOINTS ANGRY, RACIST COFFEE MUG TO TRANSITION TEAM",0,Snopes,FALSE,biased
Trump Claims America Should Never Have Given Canada Its Independence,0,Snopes,FALSE,biased
Trump Complains Entire Personality Rigged Against Him,0,Snopes,FALSE,biased
TRUMP CONFIRMS THAT HE JUST GOOGLED OBAMACARE,0,Snopes,FALSE,biased
TRUMP PICKS EL CHAPO TO RUN D.E.A.,0,Snopes,FALSE,biased
"Trump Pledges to End ""Let's Move"" on First Day in Office",0,Snopes,FALSE,biased
Trump Reveals Plans To Be Sworn In On Copy Of Playboy Magazine,0,Snopes,FALSE,biased
TRUMP SAYS HE HEROICALLY AVOIDED CAPTURE IN VIETNAM BY STAYING IN U.S.s,0,Snopes,FALSE,biased
Trump Suing Chicago After He's Forced To Cancel Rally,0,Snopes,FALSE,biased
TRUMP SURGES AHEAD OF CLINTON IN POLL CONDUCTED BY HIS BRAIN,0,Snopes,FALSE,biased
TRUMP TAKES CRAP ON STAGE AS WORDS TAKE SOLID FORM,0,Snopes,FALSE,biased
Trump Takes Heat for 90 Minute Skype Session with Kim Jong-un,0,Snopes,FALSE,biased
TRUMP TO CREATE JOBS FOR UNSKILLED WHITE MALES,0,Snopes,FALSE,biased
Trump University Offers Sarah Palin Honorary Degree in Climate Science,0,Snopes,FALSE,biased
Trump Using Brown Paper Bag Test at Rally's No Dark Skin Blacks Allowed,0,Snopes,FALSE,biased
TRUMP WARNS HILLARY MAY RIG ELECTION BY GETTING MORE VOTES,0,Snopes,FALSE,biased
Turkey’s Erdogan Says U.S. Supports ISIL: ‘We Have Evidence With Pictures & Videos’,0,Snopes,FALSE,biased
TV ACADEMY OFFERS TRUMP EMMY IF HE WILL QUIT RACE,0,Snopes,FALSE,biased
U.S. SEEMINGLY UNAWARE OF IRONY IN ACCUSING SNOWDEN OF SPYING,0,Snopes,FALSE,biased
Undeniable Foul Play: U.S. Funded Facilities In Afghanistan Now “Missing” As Obama Leaves Office,0,Snopes,FALSE,biased
URGENT: Clinton Arrested For DUI In California!,0,Snopes,FALSE,biased
URGENT: The Mainstream Media Was Hiding One HUGE Fact About Trump Win!,0,Snopes,FALSE,biased
Turkey President Claims Has Video Evidence Obama Is Supporting ISIS,0,Snopes,FALSE,biased
WALKER ASSURES G.O.P. VOTERS HE IS AS HORRIBLE AS TRUMP,0,Snopes,FALSE,biased
Wall Street Executive Telling Friend How Amazing It Is To See Clinton Live,0,Snopes,FALSE,biased
Washingwood’s New Theme Park: Romneyland,1,None,TRUE,biased
What makes Rahul Gandhi ticking,1,None,TRUE,neutral
What Michael Reagan Said About Trump Today Has Ol’ Gipper BURSTING From His Grave…,0,Snopes,FALSE,biased
White House Cleaners Also Happy To See Obama’s Go!,0,Snopes,FALSE,biased
Who will clean up the Congress 'mess'?,1,None,TRUE,neutral
"WHOA – Liberals Attacked Trump Inauguration Singer, But They Got KNOCKED OUT by America!",0,Snopes,FALSE,biased
"WikiLeaks – Obama Racist Recruiting – No White, Christian Americans Need Apply",0,Snopes,FALSE,biased
WikiLeaks CONFIRMS Hillary Sold Weapons to ISIS Then Drops Another BOMBSHELL!,0,Snopes,FALSE,biased
"WIKILEAKS DOCUMENTS REVEAL APOLLO PROGRAM WAS A FRAUD, MOON LANDINGS NEVER HAPPENED",0,Snopes,FALSE,biased
WORLD LEADERS STAND UP TO PUTIN IN THEIR MINDS,0,Snopes,FALSE,biased
YOKO ONO: “I HAD AN AFFAIR WITH HILLARY CLINTON IN THE ’70S”,0,Snopes,FALSE,biased
78 Republican politicians donors and officials who are supporting Hillary Clinton,0,Snopes,FALSE,biased
A Republican intellectual explains why the Republican Party is going to die,0,Snopes,FALSE,biased
A track that gives Rahul Gandhi his kicks,1,None,TRUE,biased
A Week of Whoppers From Donald Trump,0,Snopes,FALSE,biased
Action against BSY politically motivated: BJP,1,None,TRUE,biased
Advani meets Amit Shah in Sabarmati jail,1,None,TRUE,neutral
"After Diplomat's Killing, Russia Doubles Down On Ties With Turkey",1,None,TRUE,neutral
"After violence abroad, Trump meeting with security adviser",1,None,TRUE,neutral
"Ahead of Pro-Trump Rally, KKK Members Claim They're 'Not White Supremacists'",1,None,TRUE,biased
Almatti: AP to wait and watch,1,None,TRUE,neutral
America's unwanted heading for India?,1,None,TRUE,biased
Amit Shah approaches HC for bail,1,None,TRUE,neutral
Amit Shah feigns memory lapse during CBI probe,1,None,TRUE,neutral
Amit Shah files bail plea; hearing on Aug 2,1,None,TRUE,neutral
Amit Shah returns to jail from hospital,1,None,TRUE,neutral
Amit Shah surfaces; says allegations fabricated,1,None,TRUE,neutral
Amit Shah's bail plea adjourned till August 30,1,None,TRUE,neutral
Amit Shah's critic quits as ADC director,1,None,TRUE,unclear
An Open Letter to My Friends Who Support Donald Trump,1,None,TRUE,biased
Andhra Pradesh government reduced to minority: Jagan camp,1,None,TRUE,neutral
Ask Advani; not me; about Narendra Modi's role: CM,1,None,TRUE,biased
Assam Trinamool gives Mamta jitters,1,None,TRUE,biased
At least 20 killed in Muzaffarpur firing: Modi,1,None,TRUE,biased
Aziz Ansari Why Trump Makes Me Scared for My Family,1,None,TRUE,neutral
B.K. Modi to meet FIs again today,1,None,TRUE,biased
Barbara Bush I don’t know how women can vote for Trump,1,None,TRUE,neutral
BBC's reality TV will focus on AIIMS,1,None,TRUE,neutral
"Before Trump's Presidency, US Privacy Board in Disarray",1,None,TRUE,biased
Bickering cost Dal(S) seats; admits Gowda,1,None,TRUE,biased
Bihar govt mishandled Baitha case: Modi,1,None,TRUE,neutral
Bihar govt to delink directorates,1,None,TRUE,biased
Bihar govt unlikely to implement Irani panel report: Modi,1,None,TRUE,biased
BJP asks govt to learn lessons from 'failed MoUs',1,None,TRUE,biased
BJP blames Laloo for false implication of Modi,1,None,TRUE,biased
BJP doing a volte face on casinos: Cong,1,None,TRUE,biased
BJP doing a volte face on casinos: Cong,1,None,TRUE,biased
BJP holds demonstration in Bangalore; demands Governor's recall,1,None,TRUE,unclear
BJP jumps into rail track conversion issue,1,None,TRUE,unclear
BJP jumps into rail track conversion issue,1,None,TRUE,biased
BJP sponsored bandh ends on peaceful note,1,None,TRUE,biased
BJP takes to streets; burns tyres at KR Puram,1,None,TRUE,biased
BJP to block traffic statewide on Jan 6,1,None,TRUE,biased
BJP to block traffic statewide on Jan 6,1,None,TRUE,biased
BJP; NCP to join hands to fight Monserrate,1,None,TRUE,neutral
Blue Feed Red Feed,1,None,TRUE,biased
Boost for BJP; allies; shock for Congress,1,None,TRUE,biased
BPCC welcoms Rahul Gandhi's entry to politics,1,None,TRUE,biased
Brexit Uncertainties Threaten Brain Drain for UK Science,1,None,TRUE,neutral
"Carl Paladino, Trump campaign N.Y. co-chair, says his derogatory Obama remarks were a ""mistake""",1,None,TRUE,neutral
CBI gets two-day custody of Amit Shah,1,None,TRUE,neutral
CBI likely to seek 'jail & trial outside Gujarat' for Amit Shah,1,None,TRUE,neutral
Chautala stresses on modifications in WTO,1,None,TRUE,unclear
Chautala stresses on modifications in WTO,1,None,TRUE,unclear
China to enhance cooperation in BJP-ruled states,1,None,TRUE,unclear
Civic polls: Minister refutes BJP charges,1,None,TRUE,neutral
"Clinton FBI Director Backs Trump's Attorney General Pick Jeff Sessions, Defends His Records on Civil Rights",1,None,TRUE,neutral
Clinton urges US Congress to ratify CTBT,1,None,TRUE,neutral
CM's Moti Dongor visit irks BJP,1,None,TRUE,biased
Cong demands probe against Amit Shah,1,None,TRUE,biased
Congress forum ups the ante on Telangana,1,None,TRUE,neutral
Congress hopeful of winning Majitha seat,1,None,TRUE,neutral
Congress hopes soar; BJP cries foul,1,None,TRUE,biased
Congress hopes soar; BJP cries foul,1,None,TRUE,biased
Congress House is no-smoking zone,1,None,TRUE,neutral
Congress isolated; but stalls Parliament,1,None,TRUE,biased
Congress politics flayed at BJP 'vikas rally',1,None,TRUE,biased
Congress ready for coalition,1,None,TRUE,neutral
Congress seeks to upset SAD applecart in Majitha by-poll,1,None,TRUE,biased
Congress struggles to find a candidate,1,None,TRUE,neutral
Congress the right choice; say Sonia; Krishna,1,None,TRUE,biased
Congressional Republicans Begin to Buck Trump on Russia,1,None,TRUE,biased
"Contradicting settled science, Donald Trump says ""nobody really knows"" on climate change",1,None,TRUE,biased
Court rejects Amit Shah's remand plea,1,None,TRUE,neutral
Defying Omar govt; BJP to go ahead with Ekta Yatra in Kashmir,1,None,TRUE,biased
Democrats Hope Trump's Cabinet Picks Will Stand in Their Own Way,1,None,TRUE,biased
Dems open convention without Wasserman Schultz,1,None,TRUE,biased
Donald and Billy on the Bus,1,None,TRUE,biased
"Donald Trump accuses President Obama of ""roadblocks"" during transition",1,None,TRUE,biased
Donald Trump Hired Me As An Attorney. Please Don’t Support Him For President.,1,None,TRUE,biased
